sector_code;sector_label;activity_code;activity_label;product_code;product_label
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010101;Cultures de céréales  ;A01010101;Blé  
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010101;Cultures de céréales  ;A01010102;Maïs 
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010101;Cultures de céréales  ;A01010103;Riz paddy  
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010101;Cultures de céréales  ;A01010104;Mil   
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010101;Cultures de céréales  ;A01010105;Sorgho  
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010101;Cultures de céréales  ;A01010106;orge
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010101;Cultures de céréales  ;A01010107;Autres céréales n.c.a.  
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010102;Culture de tubercules et de légumes à cosse secs ;A01010201;Pommes de terre
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010102;Culture de tubercules et de légumes à cosse secs ;A01010202;Igname  
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010102;Culture de tubercules et de légumes à cosse secs ;A01010203;Manioc   
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010102;Culture de tubercules et de légumes à cosse secs ;A01010204;Taro et macabo   
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010102;Culture de tubercules et de légumes à cosse secs ;A01010205;Patates douces  
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010102;Culture de tubercules et de légumes à cosse secs ;A01010206;Autres racines et tubercules à amidon  
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010102;Culture de tubercules et de légumes à cosse secs ;A01010207;Haricots secs  
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010102;Culture de tubercules et de légumes à cosse secs ;A01010208;Pois de terre  
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010102;Culture de tubercules et de légumes à cosse secs ;A01010209;Autres légumes à cosse secs  
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010103;Culture de plantes oléagineuses ;A01010301;Arachides 
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010103;Culture de plantes oléagineuses ;A01010302;Noix de palme et amandes de palmiste 
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010103;Culture de plantes oléagineuses ;A01010303;Noix et amandes de karité 
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010103;Culture de plantes oléagineuses ;A01010304;Soja 
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010103;Culture de plantes oléagineuses ;A01010305;Coprah 
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010103;Culture de plantes oléagineuses ;A01010306;Autres produits de plantes oléagineuses n.c.a. 
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010104;Culture du coton  ;A01010400;Coton graine 
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010105;Égrenage du coton ;A01010501;Coton fibre 
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010105;Égrenage du coton ;A01010502;Graines de coton  
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010106;Autres cultures n.c.a  ;A01010601;Canne à sucre 
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010106;Autres cultures n.c.a  ;A01010602;Tabac brut 
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010106;Autres cultures n.c.a  ;A01010603;Latex 
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010106;Autres cultures n.c.a  ;A01010604;Urena et punga
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010106;Autres cultures n.c.a  ;A01010605;Rauwolfia
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010106;Autres cultures n.c.a  ;A01010606;Papaïne
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010106;Autres cultures n.c.a  ;A01010607;Quinquina
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010106;Autres cultures n.c.a  ;A01010608;Produits végétaux cultivés n.c.a. 
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010201; Culture de légumes  ;A01020100;Légumes frais 
A;AGRICULTURE, SYLVICULTURE, PÊCHE;A010202;"Reproduction des plantes (pépinières); horticulture ";A01020200;Plantes et fleurs
